titlu,Latitude nordica,Longitudine estica,program,taxa,Accesibil pentru persoane cu dizabilit??i ,Curatenie,tip,
Baraj Her?str?u,44.47.38.8,26.08.93.2,Acces interzis,NU,NU,,Ecologic?,
Pasajul Pietonal Basarab,"44°27'00.42""",26°04'07.35,05:00-23:00,NU,NU,2,Clasic?,
Parc Circului,"44°27'25.5""","26°06'32.6""",Non-stop,NU,NU,3,Ecologic?,
Parc Pantelimon,"44°26'13.7""","26°19'9.86""",Non-stop,NU,NU,1,Ecologic?,
Arena Na?ional?,"44°26'02.3""","26°09'11.2""",Non-stop,NU,NU,2,Ecologic?,
Biserica Popa Soare (str. D. Burghelea nr.7),"44°26'09.5""","26°07'06.5""",10:00-18:00,NU,NU,3,Ecologic?,
?coala Gimnazial? „Ferdinand l” (Bd. G?rii Obor nr.16),44°44’29”,26°14’92”,5:00-24:00,NU,NU,3,Automat?,
?coala Gimnazial? de arte (Bd. Ferdinand I nr.128),,,,NU,NU,5,Clasic?,
?coala Gimnazial? nr.24 (Str. Tunari nr. 52-54),"44.45'144""","26.10'60.2""",,NU,NU,2,Ecologic?,
Liceul Tehnologic Sf. Pantelimon (Str. Hambarului nr.12),44° 26? 26?,26° 09? 10?,Non-stop,NU,DA,3,Ecologic?,
Scoala Gimnazial? nr.27 (Str. Ma?ina de Pâine nr.65),44° 26? 56.0?,26° 07? 36.8?,Non-stop,NU,NU,1,Ecologic?,
Liceul Tehnologic C. Brâncu?i (bd. Dimitrie Pompeiu nr.1),"44.47'89.6""","26.10'76""",Non-stop,NU,NU,2,Ecologic?,
"Parc Obor , strada Chiristigiilor nr. 11-14","44°26'57.0""","26°07'36.5""",Non-stop,NU,NU,2,Automat?,
"Parc Obor , strada Chiristigiilor nr. 11-14","44°26'55.8""","26°07'37.3""",Non-stop,NU,NU,2,Automat?,
"Parc P?s?rari , Aleea Câmpul Mo?ilor nr. 4","44° 27 '2.3""","26° 7 '42.5""",Non-stop,NU,NU,4,Automat?,
?os. Colentina nr. 2 (Bloc ALMO),"44°27'00.72""","26°07'32.42""",Non-Stop,NU,DA,2,Automat?,
"Parc Titus Ozon , B-dul G?rii Obor","44°26'53.2""","26°08'26.5""",Non-Stop,NU,NU,4,Automat?,
?os. Colentina nr. 444-446 (cap tramvai 21),44°47’52”,26°16’36”,5:00-24:00,NU,NU,3,Automat?,
"Parc Ion Creang? , strada Mun?ii Buz?ului nr. 58-61","44°28'22.00""","26°10'19.96""",6:00-22:00,NU,NU,3,Automat?,
B-dul Pache Protopopescu x strada Traian,"44°26'19.1""","26°07'11.5""",Non-stop,NU,NU,3,Automat?,
B-dul Chi?in?u x B-dul,"44°26'06.4""","26°09'37.1""",Non-stop,NU,NU,3,Automat?,
"Parc Gr?dina Icoanei, Teatrul Bulandra Str. Jean Louis Calderon 76A","44°26'36.59""","26°06'15.31""",Non-stop,NU,NU,3,Automat?,
"Parc Na?ional , B-dul nr. 25-36","44° 26 '00.5""","26° 08 '38.6""",Non-stop,NU,NU,5,Automat?,
"Parc Na?ional , B-dul nr. 25-36","44° 26 '04.2""","26° 08 '40.7""",Non-stop,NU,NU,4,Automat?,
"Parc Na?ional , B-dul nr. 25-36","44°26'09.4""","26°08'35.5""",Non-stop,NU,NU,1,Clasic?,
"Parc Na?ional , B-dul nr. 25-36","44°26'06.5""","26°08'37.2""",Non-stop,NU,NU,4,Automat?,
"Parc Na?ional , B-dul nr. 25-36","44°26'04.2""","26°08'38.1""",Non-stop,NU,NU,1,Clasic?,
Strada Tunari x ?oseaua ?tefan cel Mare,"44°27'09.3""","26°06'19.2""",Non-stop,NU,NU,5,Automat?,
"Parc Motodrom , ?oseaua Fundeni nr. 280-287","44°28'04.73""","26°08'50.07""",,NU,NU,1,Automat?,
"Parc Lunca Florilor , strada R?u?eni nr. 5-8","44° 27? 17,10?","26° 08? 45,33?",6:00-22:00,NU,NU,2,Automat?,
"Parc Plumbuita II , ?oseaua Colentina nr. 63-66","44°27'57""","26°08'3.4""",Non-stop,NU,DA,4,Automat?,
B-dul Ferdinand I (Iulia Ha?deu),44°26?38”,26°07?42”,Non-stop,NU,NU,4,Automat?,
"Parc Cinema Floreasca , strada Giuseppe Garibaldi nr. 5",44°27’44.76”,26°06’15.90”,Non-stop,DA,DA,5,Automat?,
"Gr?dina M?t?sari , B-dul Pache Protopopescu nr. 116","44°26'31.28""","26°07'48.25""",Non-stop,NU,NU,2,Automat?,
"Parc Florilor , strada H??i?ului nr. 3",44°26'45.70'',26°08'22.50'',06:00-22:00,NU,NU,4,Automat?,
"Aleea Belvedere , strada Maior Ion Coravu nr. 45-50","44°26'04.2""","26°08'53.2""",Non-stop,NU,NU,5,Clasic?,
"Parc Amiral Murgescu , strada Amiral Murgescu","44° 26' 45.7""","26° 08' 22.5""",06:00-00:00,NU,NU,5,Automat?,
"Parc Cosmos , ?oseaua Pantelimon nr. 368",44°26'27.44,"26°11'0.61""",Non-stop,NU,NU,4,Automat?,
"Parc Lunca Florilor , strada R?u?eni nr. 5-8",44° 27’ 17.01”,26° 8’ 45.4194”,Non-stop,NU,NU,3,Automat?,
"Parc Plumbuita II , ?oseaua Colentina nr. 57-62",44°27’ 57.189”,26° 8’ 3.2634”,Non-stop,NU,NU,4,Automat?,
"Parc Florilor , strada H??i?ului nr. 3",44° 26’ 35.2212”,26° 10’ 3.831”,Non-stop,NU,NU,5,Automat?,
"Piata Gemeni , str. Vasile Lascar x B-dul Dacia","44°26'43.2""","26°06'40.9""",Non-stop,NU,DA,4,Automat?,
